Respondent ID,Assigned Persona,Profile 1,Profile 2,Profile 3,Profile 4,Profile 5,Profile 6,Profile 7,Profile 8,Profile 9
User 001,Budget Explorer,9,3,6,8,4,3,10,3,5
User 002,Time-Pressed Pro,4,9,5,3,8,4,2,9,4
User 003,Disenchanted Foodie,8,4,9,5,5,8,6,4,8
User 004,Budget Explorer,10,2,5,9,3,5,9,4,3
User 005,Time-Pressed Pro,3,10,4,5,9,5,3,10,5
User 006,Budget Explorer,8,4,7,7,2,4,8,2,4
User 007,Disenchanted Foodie,7,3,10,6,6,9,5,5,7
User 008,Time-Pressed Pro,2,8,6,4,10,3,4,8,6
User 009,Time-Pressed Pro,5,9,5,6,8,6,1,9,3
User 010,Budget Explorer,9,5,5,10,5,3,9,5,4
User 011,Disenchanted Foodie,9,5,8,7,4,7,7,6,9
User 012,Budget Explorer,10,2,6,8,3,5,10,4,5
User 013,Time-Pressed Pro,4,10,4,3,9,4,2,10,4
User 014,Disenchanted Foodie,8,4,9,4,5,10,4,3,8
User 015,Time-Pressed Pro,3,8,5,5,7,5,3,8,5
User 016,Budget Explorer,9,3,5,9,4,6,8,3,4
User 017,Disenchanted Foodie,7,5,10,5,6,8,6,5,10
User 018,Time-Pressed Pro,2,9,6,4,10,3,4,9,6
User 019,Budget Explorer,8,4,7,10,2,4,9,2,3
User 020,Time-Pressed Pro,5,10,4,6,8,4,1,10,4
User 021,Budget Explorer,10,2,5,8,5,3,10,5,5
User 022,Disenchanted Foodie,9,3,8,6,4,9,5,4,7
User 023,Disenchanted Foodie,8,4,9,7,5,7,7,6,8
User 024,Time-Pressed Pro,4,8,5,3,9,6,2,8,5
User 025,Budget Explorer,9,5,6,9,3,5,8,4,4
User 026,Disenchanted Foodie,7,5,10,4,6,10,4,3,9
User 027,Budget Explorer,8,3,5,10,4,4,9,3,3
User 028,Time-Pressed Pro,3,9,6,5,10,5,3,9,6
User 029,Time-Pressed Pro,2,10,4,4,8,3,4,10,4
User 030,Budget Explorer,10,4,7,8,2,6,10,2,5
User 031,Disenchanted Foodie,9,3,9,5,5,8,6,5,8
User 032,Time-Pressed Pro,5,8,5,6,9,4,1,8,5
User 033,Budget Explorer,8,2,5,9,5,3,8,5,4
User 034,Disenchanted Foodie,7,4,8,6,4,9,5,4,7
User 035,Time-Pressed Pro,4,9,4,3,10,6,2,9,3
User 036,Budget Explorer,9,5,6,10,3,5,9,4,5
