Awareness,AwarenessLag,GRP
0.98,0.58,149.8
1.14,0.98,0
0.51,1.14,0
1.09,0.51,321.17
1.15,1.09,170.38
0.46,1.15,312.02
0.7,0.46,98.09
0.78,0.7,28.24
0.93,0.78,286.4
0.75,0.93,267.64
0.78,0.75,60.41
1.14,0.78,0
0.83,1.14,92.58
1.11,0.83,116.58
1.3,1.11,0
1.52,1.3,155.09
1.11,1.52,0
0.93,1.11,0
1.14,0.93,0
1.12,1.14,0
1.11,1.12,0
1.39,1.11,0
1.09,1.39,0
1.21,1.09,0
0.89,1.21,0
0.48,0.89,0
1.01,0.48,0
0.86,1.01,0
0.69,0.86,0
1.25,0.69,0
0.71,1.25,0
0.91,0.71,0
0.75,0.91,0
0.68,0.75,0
0.43,0.68,0
1.63,0.43,209.7
2.24,1.63,237.65
2.54,2.24,46.86
1.29,2.54,38.65
1.32,1.29,167.03
1.93,1.32,144.93
1.72,1.93,42.01
1.43,1.72,7.69
1.38,1.43,216.51
1.99,1.38,0
2.11,1.99,0
1.95,2.11,0
1.94,1.95,0
1.43,1.94,0
1.99,1.43,167.74
2.8,1.99,349.82
2.71,2.8,342.32
2.61,2.71,0
2.23,2.61,0
1.82,2.23,0
1.66,1.82,0
2.49,1.66,222.88
2.86,2.49,267.89
3.4,2.86,534.62
4.93,3.4,249.28
5.78,4.93,33.02
3.99,5.78,10.1
2.62,3.99,263.58
2.15,2.62,0
2,2.15,0
1.91,2,0
1.1,1.91,0
0.87,1.1,221.33
2.36,0.87,198.76
1.29,2.36,0
1.41,1.29,0
1.24,1.41,0
1.1,1.24,0
0.49,1.1,0
1.44,0.49,0
1.08,1.44,0
0.8,1.08,0
0.28,0.8,0
0.42,0.28,0
0.7,0.42,0
0.26,0.7,0
0.39,0.26,0
