Awareness,AwarenessLag,GRP
1.52,1.38,79.4
1.6,1.52,286.1
1.41,1.6,106.6
1.16,1.41,391.2
1.02,1.16,0
1.68,1.02,0
1.4,1.68,0
1.33,1.4,0
1.1,1.33,374.87
0.63,1.1,0
0.64,0.63,0
1.43,0.64,0
1.55,1.43,406.12
1.25,1.55,0
1.27,1.25,0
1.6,1.27,0
1.46,1.6,0
2.28,1.46,395.32
1.86,2.28,0
1.41,1.86,0
1.21,1.41,0
1.54,1.21,0
2.12,1.54,102.56
1.97,2.12,0
1.59,1.97,0
1.2,1.59,0
1.68,1.2,0
2.62,1.68,0
2,2.62,0
2.96,2,424.56
3.37,2.96,13.79
2.22,3.37,0
2.25,2.22,0
2.16,2.25,0
2.1,2.16,0
1.91,2.1,0
2.47,1.91,0
2.72,2.47,357.7
2.28,2.72,0
2.65,2.28,0
2.39,2.65,0
2.88,2.39,471.03
2.65,2.88,118.39
2.72,2.65,118.24
2.11,2.72,0
2.02,2.11,0
1.8,2.02,0
1.81,1.8,0
3.09,1.81,425.72
2.9,3.09,0
2.7,2.9,136.32
2.84,2.7,0
2.15,2.84,0
2.26,2.15,0
3.63,2.26,439.15
3.48,3.63,0
4.05,3.48,431.09
3.03,4.05,0
2.81,3.03,0
2.58,2.81,0
1.67,2.58,0
1.89,1.67,0
1.82,1.89,0
1.2,1.82,0
1.11,1.2,0
1.2,1.11,0
1.96,1.2,0
1.81,1.96,0
0.93,1.81,0
0.46,0.93,0
1.85,0.46,0
2.36,1.85,322.94
1.93,2.36,0
1.22,1.93,0
1.29,1.22,0
1.79,1.29,0
0.4,1.79,0
0.33,0.4,0
0.5,0.33,0
0.74,0.5,0
0.73,0.74,0
0.9,0.73,0
