Awareness,AwarenessLag,GRP
0.66,1.72,0
0.48,0.66,0
0.49,0.48,0
0.96,0.49,0
0.27,0.96,0
0.38,0.27,0
0.14,0.38,0
0.45,0.14,0
0.49,0.45,0
0.47,0.49,0
0.44,0.47,0
0.66,0.44,0
0.44,0.66,0
0.42,0.44,0
0.7,0.42,0
0.69,0.7,0
1.25,0.69,0
0.96,1.25,0
0.76,0.96,0
0.57,0.76,0
0.67,0.57,0
1,0.67,0
0.65,1,0
0.53,0.65,0
0.51,0.53,0
0.48,0.51,0
0.63,0.48,0
1.13,0.63,0
0.33,1.13,0
0.44,0.33,0
0.23,0.44,0
1.85,0.23,606.17
2.81,1.85,505.47
3.63,2.81,0
2.6,3.63,0
2.43,2.6,0
3.75,2.43,349.1
3.99,3.75,365.64
3.16,3.99,3.52
3.15,3.16,8.29
2.2,3.15,6.02
1.97,2.2,6.73
1.68,1.97,8.52
1.61,1.68,6.87
2.09,1.61,9.14
2.16,2.09,6.93
2.82,2.16,7.98
2.84,2.82,368.5
2.86,2.84,340.32
2.5,2.86,15.26
2.38,2.5,16.02
2.02,2.38,14.68
1.89,2.02,12.31
1.98,1.89,364.6
1.71,1.98,9.14
1.6,1.71,10.68
1.69,1.6,8.99
1.51,1.69,10.88
1.6,1.51,191.93
1.43,1.6,12.63
0.9,1.43,13.38
1.16,0.9,357.07
2.14,1.16,369.22
1.59,2.14,42.4
1.62,1.59,12.2
3.58,1.62,339.94
2.98,3.58,11.78
2.72,2.98,12.38
2.54,2.72,11.91
3.67,2.54,312.61
3.75,3.67,0
3.1,3.75,0
2.64,3.1,0
2.16,2.64,0
2.8,2.16,0
1.85,2.8,0
1.73,1.85,75.28
1.42,1.73,65.33
1.29,1.42,0
1.39,1.29,0
0.91,1.39,0
1.02,0.91,0
