Awareness,AwarenessLag,GRP
2.08,0.91,482.1
2.47,2.08,368.7
3.43,2.47,450.1
1.85,3.43,0
1.76,1.85,0
1.31,1.76,0
1.54,1.31,0
1.98,1.54,0
1.99,1.98,0
1.11,1.99,139.93
1.13,1.11,372.12
2.21,1.13,261.15
3.06,2.21,28.8
2.44,3.06,8.85
2.03,2.44,0
1.61,2.03,0
1.89,1.61,0
1.5,1.89,0
2.03,1.5,256.75
2.76,2.03,257.17
3.13,2.76,164.74
2.99,3.13,0
2.55,2.99,0
2.14,2.55,0
2.23,2.14,0
1.96,2.23,0
2.37,1.96,0
4.81,2.37,116.21
3.15,4.81,310.46
5.58,3.15,181.12
6.02,5.58,0
5.2,6.02,0
4.09,5.2,0
2.8,4.09,0
2.64,2.8,0
2.31,2.64,0
1.96,2.31,0
3.7,1.96,371.92
3.89,3.7,276.43
3.14,3.89,76.18
2.92,3.14,0
3.13,2.92,483.42
5.91,3.13,339.16
5.4,5.91,55.28
4.31,5.4,0
4.12,4.31,0
3.78,4.12,0
3.77,3.78,0
2.95,3.77,0
2.36,2.95,0
2.94,2.36,508.37
4.02,2.94,494.66
3.83,4.02,0
3.61,3.83,0
2.89,3.61,0
2.29,2.89,0
2.01,2.29,0
1.81,2.01,0
3.98,1.81,406.5
6.96,3.98,496.28
6.72,6.96,71.53
6.53,6.72,0
6.2,6.53,0
5.26,6.2,0
5.01,5.26,0
4.2,5.01,0
5.51,4.2,281.25
6.07,5.51,344.62
5.97,6.07,0
4.72,5.97,0
4.34,4.72,0
4.22,4.34,0
3.8,4.22,0
3.7,3.8,0
3.52,3.7,0
3.21,3.52,0
3.14,3.21,0
3.05,3.14,0
2.79,3.05,0
2.48,2.79,0
2.11,2.48,2.82
1.91,2.11,16.87
